coin,side,entry_ts,exit_ts,R,day
BTCUSDT,long,1721170980000,1721234340000,-1.0,1721088000000
BTCUSDT,short,1721786580000,1721808360000,-1.0,1721779200000
BTCUSDT,short,1724076180000,1724088600000,-1.0,1724025600000
BTCUSDT,long,1724156820000,1724160960000,-1.0,1724112000000
BTCUSDT,long,1726017120000,1726017660000,-1.0,1726012800000
BTCUSDT,long,1726851240000,1726854840000,-1.0,1726790400000
BTCUSDT,long,1726898940000,1726998120000,-1.0,1726876800000
BTCUSDT,short,1727856180000,1727873640000,3.0,1727827200000
BTCUSDT,short,1728536760000,1728539280000,-1.0,1728518400000
BTCUSDT,long,1728994860000,1729000260000,3.0,1728950400000
BTCUSDT,long,1729130580000,1729140120000,-1.0,1729123200000
BTCUSDT,long,1729324980000,1729335780000,-1.0,1729296000000
BTCUSDT,short,1730657880000,1730662560000,-1.0,1730592000000
BTCUSDT,long,1731466980000,1731472380000,-1.0,1731456000000
BTCUSDT,long,1733584140000,1733648220000,-1.0,1733529600000
BTCUSDT,short,1734991920000,1734992280000,-1.0,1734912000000
BTCUSDT,long,1736222580000,1736244900000,-1.0,1736208000000
BTCUSDT,long,1736997120000,1736998380000,-1.0,1736985600000
BTCUSDT,short,1738699380000,1739304180000,2.365973,1738627200000
BTCUSDT,short,1741701780000,1741716720000,-1.0,1741651200000
BTCUSDT,long,1742860980000,1742866200000,-1.0,1742860800000
BTCUSDT,long,1742961780000,1742972400000,3.0,1742947200000
BTCUSDT,short,1743732180000,1743750540000,-1.0,1743724800000
BTCUSDT,short,1744796700000,1744806240000,-1.0,1744761600000
BTCUSDT,short,1747094580000,1747127880000,-1.0,1747094400000
BTCUSDT,short,1748613780000,1748623680000,3.0,1748563200000
BTCUSDT,short,1748732580000,1748793960000,-1.0,1748649600000
BTCUSDT,long,1749021840000,1749031920000,3.0,1748995200000
BTCUSDT,short,1750230180000,1750405860000,-1.0,1750204800000
BTCUSDT,long,1750756140000,1750847040000,3.0,1750723200000
BTCUSDT,short,1751382180000,1751443200000,-1.0,1751328000000
BTCUSDT,long,1751875380000,1751889960000,-1.0,1751846400000
BTCUSDT,long,1753698240000,1753702020000,-1.0,1753660800000
BTCUSDT,long,1754763660000,1754774640000,-1.0,1754697600000
BTCUSDT,long,1754938980000,1754941500000,-1.0,1754870400000
BTCUSDT,short,1755676980000,1755679500000,-1.0,1755648000000
BTCUSDT,short,1756051380000,1756064160000,3.0,1755993600000
BTCUSDT,short,1756214460000,1756233720000,-1.0,1756166400000
BTCUSDT,short,1756771920000,1756777680000,-1.0,1756771200000
BTCUSDT,long,1757685780000,1757926440000,-1.0,1757635200000
BTCUSDT,long,1758204180000,1758236400000,-1.0,1758153600000
BTCUSDT,short,1758672180000,1758673260000,-1.0,1758672000000
BTCUSDT,short,1758880980000,1758907440000,-1.0,1758844800000
BTCUSDT,long,1759420980000,1759639320000,3.0,1759363200000
BTCUSDT,long,1759701780000,1759759020000,3.0,1759622400000
BTCUSDT,long,1759815540000,1759818240000,-1.0,1759795200000
BTCUSDT,short,1760275440000,1760280480000,-1.0,1760227200000
BTCUSDT,short,1760454720000,1760456700000,-1.0,1760400000000
BTCUSDT,short,1760497380000,1760607180000,3.0,1760486400000
BTCUSDT,short,1760720580000,1760867280000,-1.0,1760659200000
BTCUSDT,short,1763381520000,1763390160000,-1.0,1763337600000
BTCUSDT,short,1763392140000,1763441100000,3.0,1763337600000
BTCUSDT,short,1763773380000,1763861760000,-1.0,1763769600000
BTCUSDT,long,1764810180000,1764853380000,-1.0,1764806400000
BTCUSDT,short,1764950580000,1765131480000,-1.0,1764892800000
BTCUSDT,short,1765893780000,1765900440000,-1.0,1765843200000
BTCUSDT,short,1766499480000,1766505780000,-1.0,1766448000000
BTCUSDT,short,1766512980000,1766522700000,-1.0,1766448000000
BTCUSDT,short,1767915360000,1767922200000,-1.0,1767830400000
BTCUSDT,long,1768489380000,1768492080000,-1.0,1768435200000
BTCUSDT,short,1769050980000,1769095440000,3.0,1769040000000
BTCUSDT,long,1769637780000,1769649840000,-1.0,1769558400000
BTCUSDT,short,1770908760000,1770995340000,-1.0,1770854400000
BTCUSDT,long,1773583380000,1773614880000,3.0,1773532800000
BTCUSDT,short,1774386540000,1774388520000,-1.0,1774310400000
BTCUSDT,long,1774472580000,1774501560000,-1.0,1774396800000
BTCUSDT,long,1775779560000,1775807460000,-1.0,1775779200000
BTCUSDT,long,1778473980000,1778517180000,3.0,1778457600000
BTCUSDT,short,1778767560000,1778768280000,-1.0,1778716800000
BTCUSDT,short,1779152580000,1779266160000,-1.0,1779148800000
BTCUSDT,long,1781308980000,1781364060000,3.0,1781308800000
BTCUSDT,long,1781661780000,1781682480000,-1.0,1781654400000
BTCUSDT,long,1782033840000,1782074700000,-1.0,1782000000000
BTCUSDT,short,1782494280000,1782567360000,-1.0,1782432000000
ETHUSDT,short,1662944580000,1662946920000,-1.0,1662940800000
ETHUSDT,short,1664471340000,1664497800000,-1.0,1664409600000
ETHUSDT,long,1664842140000,1664892000000,3.0,1664841600000
ETHUSDT,long,1666926720000,1666942200000,-1.0,1666915200000
ETHUSDT,short,1668067380000,1668070080000,-1.0,1668038400000
ETHUSDT,short,1668086820000,1668087000000,-1.0,1668038400000
ETHUSDT,short,1669647780000,1669654440000,-1.0,1669593600000
ETHUSDT,long,1669735620000,1669768740000,3.0,1669680000000
ETHUSDT,short,1672277040000,1672287840000,-1.0,1672272000000
ETHUSDT,short,1672309080000,1672320600000,-1.0,1672272000000
ETHUSDT,long,1674001980000,1674050760000,3.0,1674000000000
ETHUSDT,short,1674486180000,1675019700000,-1.0,1674432000000
ETHUSDT,long,1675283400000,1675888200000,0.107136,1675209600000
ETHUSDT,short,1676129400000,1676140200000,3.0,1676073600000
ETHUSDT,short,1676383380000,1676386080000,-1.0,1676332800000
ETHUSDT,short,1677007260000,1677033000000,3.0,1676937600000
ETHUSDT,short,1677406140000,1677420720000,-1.0,1677369600000
ETHUSDT,long,1677519180000,1677521880000,-1.0,1677456000000
ETHUSDT,long,1677690540000,1677700080000,-1.0,1677628800000
ETHUSDT,short,1677855780000,1677978900000,-1.0,1677801600000
ETHUSDT,long,1678753260000,1678780080000,-1.0,1678752000000
ETHUSDT,short,1678960980000,1678963680000,-1.0,1678924800000
ETHUSDT,long,1679003100000,1679092560000,3.0,1678924800000
ETHUSDT,long,1683205560000,1683206280000,-1.0,1683158400000
ETHUSDT,short,1683620280000,1683634320000,-1.0,1683590400000
ETHUSDT,long,1684767780000,1684811880000,3.0,1684713600000
ETHUSDT,long,1685358900000,1685370780000,-1.0,1685318400000
ETHUSDT,long,1685408580000,1685508300000,-1.0,1685404800000
ETHUSDT,long,1685754360000,1685756160000,-1.0,1685750400000
ETHUSDT,short,1686564180000,1686659400000,-1.0,1686528000000
ETHUSDT,short,1687859640000,1687860360000,-1.0,1687824000000
ETHUSDT,long,1688423400000,1688497560000,-1.0,1688342400000
ETHUSDT,short,1688522580000,1688545080000,3.0,1688515200000
ETHUSDT,short,1689681780000,1689728220000,-1.0,1689638400000
ETHUSDT,short,1690241580000,1690252380000,-1.0,1690156800000
ETHUSDT,long,1690446420000,1690470540000,-1.0,1690416000000
ETHUSDT,short,1691029620000,1691074620000,-1.0,1691020800000
ETHUSDT,short,1692406980000,1692460080000,-1.0,1692403200000
ETHUSDT,short,1693015380000,1693145520000,-1.0,1693008000000
ETHUSDT,short,1693230660000,1693318680000,-1.0,1693180800000
ETHUSDT,long,1693489140000,1693489500000,-1.0,1693440000000
ETHUSDT,short,1693852380000,1693909620000,-1.0,1693785600000
ETHUSDT,short,1694592180000,1694605320000,-1.0,1694563200000
ETHUSDT,short,1695006540000,1695022200000,-1.0,1694995200000
ETHUSDT,long,1696100040000,1696110120000,-1.0,1696032000000
ETHUSDT,long,1696194180000,1696198500000,3.0,1696118400000
ETHUSDT,short,1696924980000,1696942440000,3.0,1696896000000
