branch	merged	ahead_main	worktree	origin
polymarket-copy-path-to-live-scoping-2026-06-13	N	3	WT	pushed(synced)
polymarket-copy-paused-docs-2026-06-17	N	1	-	none
polymarket-e1-1-deps-respike-2026-06-13	N	0	WT	pushed(synced)
polymarket-e1-2-mapping-sign-2026-06-13	N	0	WT	pushed(synced)
polymarket-e1-3-place-poll-2026-06-13	N	0	WT	pushed(synced)
polymarket-e1-4-cancel-2026-06-13	N	0	WT	pushed(synced)
polymarket-e1-5-quote-2026-06-13	N	0	WT	pushed(synced)
polymarket-e1-6-assemble-2026-06-13	N	0	WT	pushed(synced)
polymarket-e1-7-preflight-2026-06-13	N	0	WT	pushed(synced)
polymarket-e1-live-broker-design-2026-06-13	N	2	WT	pushed(synced)
polymarket-e2-1-tokenid-2026-06-14	Y	0	-	pushed(synced)
polymarket-e2-7-phase0-validation-2026-06-15	Y	0	-	none
polymarket-gamma-5xx-retry	Y	0	-	none
polymarket-live-prep-2026-05-29	Y	0	-	none
polymarket-op-track-prep-2026-06-14	N	1	-	none
polymarket-option-c-phase1-2026-06-10	N	0	WT	pushed(synced)
polymarket-option-c-phase2-2026-06-10	N	0	WT	pushed(synced)
polymarket-option-c-phase3-unify-2026-06-11	N	0	WT	pushed(synced)
polymarket-option-c-phase4-cleanup-2026-06-13	N	0	WT	pushed(synced)
polymarket-option-c-scoping-2026-06-09	N	1	WT	pushed(synced)
polymarket-sell-pairing-investigation-2026-06-09	N	2	WT	pushed(synced)
polymarket-workflow-verification-2026-06-09	N	1	WT	pushed(synced)
prod-reconcile-2026-06-28	Y	0	WT	none
range-scalp-2026-06-19	N	2	WT	pushed(synced)
robinhood-agentic-evaluation-2026-06-08	N	1	WT	pushed(synced)
robinhood-agentic-pattern-3-exploration-2026-06-09	N	4	WT	pushed(synced)
robinhood-pead-2026-06-20	N	39	WT	pushed(synced)
session-wrap-2026-05-29-diagnostics-and-kalshi-disable	Y	0	-	pushed(synced)
stage1-architectural-review-2026-05-30	N	2	WT	pushed(synced)
stage1-deploy-2026-05-30	N	0	WT	pushed(synced)
stage1-forward-fix-2026-05-30	Y	0	-	pushed(synced)
stage1-paper-dashboard-2026-05-31	N	0	WT	pushed(synced)
stage1-redeploy-2026-05-30	N	1	WT	pushed(synced)
stage1-redeploy3-session-2026-05-30	N	1	WT	pushed(synced)
stop-distance-sensitivity-2026-06-19	N	1	WT	pushed(synced)
tooling-run-capped-python-alias-fix-2026-06-21	N	2	WT	local-ahead(1)
wallet-ops-pol-swap	N	0	WT	none
wallet-ops-toolchain	Y	0	-	none
worktree-TradeViewPS	N	7	WT	none
worktree-agent-a8e930abb23618fc2	N	0	WT	none
worktree-agent-ac7d026084ea1a3ff	N	0	WT	none
worktree-phase3-day2-audit-2026-06-02	N	2	WT	none
worktree-phase3-prod-deploy-2026-06-01	N	0	WT	pushed(synced)
worktree-polycopy	N	0	WT	none
worktree-stage1-blockers-items3-4-5-2026-05-30	N	0	WT	none
worktree-stage1-first-17h-review-2026-05-31	N	1	WT	pushed(synced)
worktree-stage1-post-deploy-admin-closeout-2026-05-31	N	0	WT	none
